orderID,orderDate,articleID,colorCode,sizeCode,productGroup,quantity,price,voucherID,voucherAmount,customerID,deviceID,paymentMethod,rrp,returnQuantity,,
a1736188,2015-09-24,i1001687,1089,44,8,1,"20,0",0,"0,0",c1317367,2,BPRG,"39,99","0,0",,
a1314760,2014-10-10,i1001825,1032,38,8,1,"49,99",v1000237,"50,99",c1093017,2,BPRG,"49,99","1,0",,
a1270568,2014-08-29,i1003278,1012,42,3,1,"12,95",0,"0,0",c1047272,2,BPRG,"12,95","0,0",,
a1573940,2015-05-21,i1003577,7146,27,2,1,"69,99",0,"0,0",c1272556,5,BPRG,"69,99","0,0",,
a1490577,2015-03-19,i1001590,1072,42,7,1,"99,99",0,"0,0",c1247527,5,BPRG,"99,99","1,0",,
a1614132,2015-06-18,i1003696,7190,30,2,1,"69,99",0,"0,0",c1007204,2,BPRG,"69,99","0,0",,
a1230141,2014-07-24,i1003107,1001,80,17,1,"12,0",v1000166,"10,0",c1110950,2,PAYPALVC,"39,99","0,0",,
a1654903,2015-07-19,i1001099,3086,36,3,1,"20,0",0,"0,0",c1295284,2,BPRG,"29,99","1,0",,
a1695561,2015-08-22,i1000354,3067,44,3,1,"12,0",0,"0,0",c1240891,2,BPRG,"39,99","1,0",,
a1654910,2015-07-19,i1001105,3067,40,3,1,"15,0",0,"0,0",c1133330,2,BPRG,"22,99","0,0",,
a1490591,2015-03-19,i1000639,1059,42,3,1,"25,0",0,"0,0",c1065048,2,BPRG,"35,99","1,0",,
a1490596,2015-03-19,i1001018,2012,40,3,1,"20,0",0,"0,0",c1008520,3,BPRG,"39,99","1,0",,
a1490597,2015-03-19,i1002515,1001,44,14,1,"25,0",0,"0,0",c1222076,2,KKE,"99,99","1,0",,
a1736211,2015-09-24,i1003677,1001,29,2,1,"69,99",0,"0,0",c1317372,5,KKE,"69,99","0,0",,
a1189525,2014-06-20,i1000196,6797,31,2,1,"35,0",v1000219,"10,0",c1064602,3,BPRG,"69,99","1,0",,
a1573966,2015-05-21,i1000670,1055,40,3,1,"9,99",v1000538,"10,0",c1133276,2,BPRG,"9,99","0,0",,
a1150861,2014-05-23,i1000835,1961,44,3,1,"29,99",0,"0,0",c1143439,3,BPRG,"29,99","0,0",,
a1695577,2015-08-22,i1003215,1085,36,3,1,"39,99",0,"0,0",c1074889,2,CBA,"39,99","0,0",,
a1695583,2015-08-22,i1000445,1077,44,3,0,"0,0",0,"0,0",c1307377,2,BPRG,"25,99","0,0",,
a1314800,2014-10-10,i1002707,1007,A,17,1,"7,0",0,"0,0",c1010337,5,PAYPALVC,"22,99","0,0",,
a1189533,2014-06-20,i1001778,1012,34,8,1,"39,99",v1000220,"10,0",c1108058,3,BPRG,"39,99","0,0",,
a1357990,2014-11-14,i1001813,1019,40,8,1,"12,0",0,"0,0",c1181859,2,PAYPALVC,"39,99","1,0",,
a1446569,2015-02-13,i1001053,3077,36,3,1,"29,99",0,"0,0",c1234979,5,BPRG,"29,99","0,0",,
a1654937,2015-07-19,i1001144,1093,34,4,1,"39,99",0,"0,0",c1253467,2,CBA,"39,99","0,0",,
a1532934,2015-04-22,i1003565,7133,27,2,1,"69,99",0,"0,0",c1014447,2,BPRG,"69,99","1,0",,
a1357994,2014-11-14,i1000853,1953,38,3,1,"9,0",0,"0,0",c1068861,2,BPRG,"29,99","0,0",,
a1695592,2015-08-22,i1001101,1085,34,3,1,"15,0",0,"0,0",c1010020,2,BPRG,"29,99","0,0",,
a1573986,2015-05-21,i1001428,1079,38,5,1,"39,99",0,"0,0",c1023743,2,BPRG,"39,99","0,0",,
a1446584,2015-02-13,i1001410,2001,38,5,1,"35,0",0,"0,0",c1000617,2,BPRG,"49,99","0,0",,
a1150884,2014-05-23,i1000270,6825,31,2,1,"59,99",0,"0,0",c1143438,2,BPRG,"59,99","1,0",,
a1358008,2014-11-14,i1000868,1012,40,3,0,"0,0",0,"0,0",c1049260,2,VORAUS,"35,99","0,0",,
a1695598,2015-08-22,i1003266,2096,34,3,1,"39,99",0,"0,0",c1049679,3,CBA,"39,99","1,0",,
a1446587,2015-02-13,i1000944,1927,38,3,1,"10,0",v1000258,"10,0",c1176829,2,BPRG,"35,99","1,0",,
a1358009,2014-11-14,i1000990,1056,38,3,1,"27,99",0,"0,0",c1208529,2,BPRG,"27,99","0,0",,
a1695603,2015-08-22,i1003175,3096,44,3,1,"35,99",0,"0,0",c1061991,2,BPRG,"35,99","0,0",,
a1654956,2015-07-19,i1001699,3096,44,8,1,"39,99",0,"0,0",c1044904,4,BPRG,"39,99","1,0",,
a1150898,2014-05-23,i1000789,1007,42,3,1,"29,99",v1000158,"15,5",c1007782,2,KKE,"29,99","0,0",,
a1358027,2014-11-14,i1002779,3001,I,17,1,"30,0",0,"0,0",c1208536,2,BPRG,"39,99","0,0",,
a1446610,2015-02-13,i1001006,2028,38,3,1,"20,0",0,"0,0",c1091867,2,BPRG,"45,99","0,0",,
a1270646,2014-08-29,i1003698,1961,44,1,1,"35,0",0,"0,0",c1182624,2,CBA,"49,99","0,0",,
a1446613,2015-02-13,i1002668,3055,I,17,1,"19,99",0,"0,0",c1177441,2,BPRG,"19,99","0,0",,
a1189562,2014-06-20,i1000376,1001,36,3,1,"19,99",0,"0,0",c1003728,2,BPRG,"19,99","0,0",,
a1736265,2015-09-24,i1003232,1096,44,3,1,"15,0",0,"0,0",c1317385,2,BPRG,"22,99","1,0",,
a1189566,2014-06-20,i1001803,1000,36,8,1,"29,99",0,"0,0",c1033873,2,CBA,"29,99","0,0",,
a1654979,2015-07-19,i1002618,1624,A,17,1,"17,99",0,"0,0",c1075680,2,BPRG,"17,99","0,0",,
a1314847,2014-10-10,i1002352,1001,34,13,1,"59,99",0,"0,0",c1093970,2,BPRG,"59,99","1,0",,
a1695620,2015-08-22,i1003883,1081,34,1,1,"35,0",0,"0,0",c1306953,2,BPRG,"49,99","0,0",,
a1532974,2015-04-22,i1002839,1026,I,17,1,"8,0",0,"0,0",c1103956,3,BPRG,"25,99","0,0",,
a1230215,2014-07-24,i1003729,1007,38,1,1,"30,0",0,"0,0",c1110158,2,BPRG,"39,99","1,0",,
a1654988,2015-07-19,i1002369,1077,38,13,1,"40,0",0,"0,0",c1186409,3,BPRG,"79,99","0,0",,
a1695629,2015-08-22,i1003869,1091,38,1,1,"35,0",0,"0,0",c1032098,2,BPRG,"49,99","1,0",,
a1654997,2015-07-19,i1001082,1089,40,3,1,"20,0",0,"0,0",c1046681,3,BPRG,"29,99","1,0",,
a1654997,2015-07-19,i1001082,1089,42,3,1,"20,0",0,"0,0",c1046681,3,BPRG,"29,99","1,0",,
a1314865,2014-10-10,i1000975,1028,44,3,1,"39,99",0,"0,0",c1190678,2,CBA,"39,99","0,0",,
a1532985,2015-04-22,i1001898,1081,38,8,1,"29,99",0,"0,0",c1091562,2,KKE,"29,99","0,0",,
a1490681,2015-03-19,i1003865,1003,38,1,1,"69,99",0,"0,0",c1002564,2,BPRG,"69,99","0,0",,
a1270680,2014-08-29,i1000911,1014,38,3,1,"20,0",0,"0,0",c1092286,2,BPRG,"29,99","1,0",,
a1314869,2014-10-10,i1000949,1032,44,3,1,"35,99",0,"0,0",c1190211,2,VORAUS,"35,99","0,0",,
a1695639,2015-08-22,i1001915,1067,36,8,1,"18,0",0,"0,0",c1046532,2,BPRG,"59,99","1,0",,
a1490686,2015-03-19,i1002029,1077,36,8,1,"39,99",0,"0,0",c1242933,4,BPRG,"39,99","1,0",,
a1358071,2014-11-14,i1001284,1026,36,4,1,"29,99",0,"0,0",c1057231,2,BPRG,"29,99","1,0",,
a1532995,2015-04-22,i1000708,1055,38,3,1,"15,99",0,"0,0",c1153473,3,BPRG,"15,99","0,0",,
a1402894,2015-01-01,i1003514,7097,32,2,1,"59,99",0,"0,0",c1222594,2,KKE,"59,99","0,0",,
a1402894,2015-01-01,i1003518,7093,32,2,1,"69,99",0,"0,0",c1222594,2,KKE,"69,99","1,0",,
a1402897,2015-01-01,i1001307,1001,38,4,1,"29,99",0,"0,0",c1222596,5,BPRG,"29,99","1,0",,
a1446658,2015-02-13,i1003842,1077,36,1,1,"59,99",0,"0,0",c1234993,2,BPRG,"59,99","1,0",,
a1614257,2015-06-19,i1002201,7140,38,9,1,"49,99",0,"0,0",c1195253,2,BPRG,"49,99","0,0",,
a1490708,2015-03-19,i1002029,1077,40,8,1,"39,99",0,"0,0",c1247567,2,BPRG,"39,99","1,0",,
a1189605,2014-06-20,i1001811,1961,42,8,1,"49,99",0,"0,0",c1033182,3,BPRG,"49,99","1,0",,
a1189608,2014-06-20,i1000799,1010,40,3,1,"15,99",v1000220,"10,0",c1081566,2,BPRG,"15,99","0,0",,
a1270712,2014-08-29,i1000911,1013,36,3,1,"20,0",v1000078,"10,0",c1047051,2,BPRG,"29,99","0,0",,
a1314889,2014-10-10,i1000847,2001,42,3,0,"0,0",0,"0,0",c1196014,2,BPRG,"29,99","0,0",,
a1314889,2014-10-10,i1001401,1021,42,5,1,"49,99",0,"0,0",c1196014,2,BPRG,"49,99","1,0",,
a1402922,2015-01-01,i1003969,1012,38,1,1,"20,0",0,"0,0",c1222607,2,BPRG,"69,99","1,0",,
a1695660,2015-08-22,i1002320,2079,40,13,1,"25,0",0,"0,0",c1021690,4,KKE,"49,99","1,0",,
a1736320,2015-09-24,i1003894,1085,38,1,1,"20,0",0,"0,0",c1317403,3,BPRG,"39,99","0,0",,
a1270719,2014-08-29,i1001205,2001,42,4,1,"20,0",0,"0,0",c1182644,2,BPRG,"69,99",,,
a1695661,2015-08-22,i1003550,7109,33,2,1,"20,0",0,"0,0",c1038877,3,BPRG,"69,99","1,0",,
a1270720,2014-08-29,i1003791,1769,44,1,1,"69,99",0,"0,0",c1165488,2,BPRG,"69,99","0,0",,
a1230258,2014-07-24,i1001816,1013,44,8,1,"49,99",0,"0,0",c1053115,2,BPRG,"49,99","0,0",,
a1614272,2015-06-19,i1000468,3086,40,3,1,"35,99",v1000703,"24,19",c1068211,2,BPRG,"35,99","1,0",,
a1150963,2014-05-24,i1002322,1961,42,13,1,"79,99",0,"0,0",c1143470,2,BPRG,"79,99","1,0",,
a1150967,2014-05-24,i1003396,1000,32,2,1,"49,99",0,"0,0",c1091627,2,BPRG,"49,99","0,0",,
a1189623,2014-06-21,i1000868,1012,40,3,1,"35,99",v1000178,"5,0",c1157024,2,BPRG,"35,99","1,0",,
a1533025,2015-04-22,i1000685,1050,38,3,1,"29,99",0,"0,0",c1260272,4,BPRG,"29,99","0,0",,
a1446679,2015-02-13,i1001589,1058,40,7,1,"119,99",0,"0,0",c1032382,2,PAYPALVC,"119,99","1,0",,
a1490732,2015-03-19,i1001325,1854,34,5,1,"49,99",0,"0,0",c1247570,2,BPRG,"49,99","1,0",,
a1446691,2015-02-13,i1001031,1065,38,3,1,"29,99",0,"0,0",c1234995,2,PAYPALVC,"29,99","1,0",,
a1402949,2015-01-01,i1001834,2012,42,8,1,"30,0",0,"0,0",c1152288,2,CBA,"39,99","0,0",,
a1189638,2014-06-21,i1001773,3854,38,8,1,"39,99",0,"0,0",c1087083,3,BPRG,"39,99","1,0",,
a1189643,2014-06-21,i1002114,1012,42,9,1,"29,99",0,"0,0",c1007809,2,BPRG,"29,99","0,0",,
a1736360,2015-09-24,i1001440,1106,42,5,1,"39,99",0,"0,0",c1317417,2,BPRG,"39,99","1,0",,
a1614312,2015-06-19,i1001071,1077,42,3,1,"30,0",0,"0,0",c1284203,2,BPRG,"39,99","0,0",,
a1736361,2015-09-24,i1000708,1111,44,3,1,"15,99",0,"0,0",c1003850,4,BPRG,"15,99","1,0",,
a1446709,2015-02-13,i1001881,3060,36,8,1,"39,99",0,"0,0",c1235004,2,KKE,"39,99","0,0",,
a1358147,2014-11-14,i1001005,1001,44,3,1,"39,99",0,"0,0",c1174374,2,BPRG,"39,99","1,0",,
a1402966,2015-01-01,i1001307,1012,38,4,1,"29,99",0,"0,0",c1222622,2,BPRG,"29,99","1,0",,
a1614317,2015-06-19,i1001077,1033,38,3,1,"30,0",0,"0,0",c1161007,2,BPRG,"39,99","0,0",,
a1402967,2015-01-01,i1001866,1493,38,8,1,"49,99",0,"0,0",c1054781,2,BPRG,"49,99","1,0",,
a1446714,2015-02-13,i1001044,1493,36,3,1,"25,99",0,"0,0",c1181956,2,BPRG,"25,99","0,0",,
a1490767,2015-03-20,i1001906,1055,44,8,1,"39,99",0,"0,0",c1098639,2,BPRG,"39,99","0,0",,
a1189656,2014-06-21,i1001528,3953,42,6,1,"49,99",0,"0,0",c1157045,2,BPRG,"49,99","1,0",,
a1533061,2015-04-22,i1003538,1033,27,2,1,"35,0",0,"0,0",c1015350,2,BPRG,"49,99","1,0",,
a1358154,2014-11-14,i1000397,1044,38,3,1,"17,99",0,"0,0",c1002015,2,BPRG,"17,99","1,0",,
a1151013,2014-05-24,i1000372,1854,38,3,1,"9,99",0,"0,0",c1143491,2,BPRG,"9,99","1,0",,
a1230303,2014-07-24,i1000857,1010,38,3,1,"25,99",0,"0,0",c1152774,2,BPRG,"25,99","0,0",,
a1533065,2015-04-22,i1001053,3077,40,3,1,"20,0",0,"0,0",c1150568,4,BPRG,"29,99","0,0",,
a1230311,2014-07-24,i1002045,1007,38,8,1,"12,0",v1000245,"44,0",c1069135,2,NN,"39,99","0,0",,
a1736380,2015-09-24,i1003216,3112,42,3,1,"29,99",0,"0,0",c1317423,3,BPRG,"29,99","0,0",,
a1402988,2015-01-01,i1000998,3044,40,3,1,"25,0",0,"0,0",c1023639,2,BPRG,"35,99","0,0",,
a1358168,2014-11-14,i1003482,6855,34,2,1,"49,99",0,"0,0",c1208588,5,BPRG,"49,99","1,0",,
a1695728,2015-08-22,i1001094,1089,44,3,1,"20,0",0,"0,0",c1004836,2,BPRG,"39,99","1,0",,
a1614349,2015-06-19,i1002373,3086,44,13,1,"59,99",0,"0,0",c1284208,4,BPRG,"59,99","0,0",,
a1574163,2015-05-21,i1002568,1079,I,17,1,"39,99",0,"0,0",c1221451,2,KKE,"39,99","0,0",,
a1403001,2015-01-01,i1000912,1012,40,3,1,"15,0",0,"0,0",c1222633,2,CBA,"29,99","1,0",,
a1574165,2015-05-21,i1001674,1493,36,8,1,"35,99",v1000536,"10,0",c1017994,2,BPRG,"35,99","0,0",,
a1403006,2015-01-01,i1001857,2056,44,8,1,"30,0",0,"0,0",c1192866,5,BPRG,"39,99","1,0",,
a1736403,2015-09-24,i1003903,1085,44,1,1,"20,0",0,"0,0",c1317426,2,KKE,"39,99","1,0",,
a1533094,2015-04-22,i1000323,3493,36,3,1,"29,99",0,"0,0",c1156516,2,BPRG,"29,99","0,0",,
a1695752,2015-08-22,i1001080,1001,34,3,1,"20,0",0,"0,0",c1019023,3,KKE,"39,99","1,0",,
a1270807,2014-08-29,i1003783,1001,36,1,1,"59,99",0,"0,0",c1074166,2,BPRG,"59,99","1,0",,
a1315004,2014-10-10,i1000372,1854,44,3,1,"7,0",0,"0,0",c1195587,3,CBA,"9,99","0,0",,
a1358193,2014-11-14,i1001418,2493,44,5,1,"39,99",0,"0,0",c1208589,2,BPRG,"39,99","1,0",,
a1736410,2015-09-24,i1000494,1089,40,3,1,"15,0",0,"0,0",c1317428,2,BPRG,"25,99","1,0",,
a1403024,2015-01-01,i1002887,3058,I,17,1,"17,99",0,"0,0",c1032074,3,CBA,"17,99","1,0",,
a1270811,2014-08-29,i1000955,3028,34,3,1,"29,99",0,"0,0",c1002335,2,BPRG,"29,99","1,0",,
a1403025,2015-01-01,i1001855,1044,38,8,1,"35,99",0,"0,0",c1020467,2,BPRG,"35,99","1,0",,
a1270813,2014-08-29,i1001252,2001,42,4,1,"59,99",0,"0,0",c1041403,2,BPRG,"59,99","1,0",,
a1736417,2015-09-24,i1002955,3081,I,17,1,"7,0",0,"0,0",c1057739,3,BPRG,"22,99","0,0",,
a1189702,2014-06-21,i1000353,1961,38,3,1,"30,0",0,"0,0",c1003502,2,BPRG,"39,99","1,0",,
a1315015,2014-10-10,i1003796,2769,32,1,1,"79,99",0,"0,0",c1138176,2,BPRG,"79,99","0,0",,
a1695766,2015-08-22,i1001080,1001,36,3,1,"20,0",0,"0,0",c1307388,2,PAYPALVC,"39,99","0,0",,
a1358210,2014-11-14,i1001410,2012,40,5,1,"49,99",v1000278,"10,0",c1032443,3,BPRG,"49,99","0,0",,
a1151048,2014-05-24,i1000760,1002,34,3,1,"18,0",0,"0,0",c1052908,2,CBA,"25,99","0,0",,
a1533113,2015-04-22,i1003278,1055,34,3,1,"12,95",0,"0,0",c1050424,3,BPRG,"12,95","1,0",,
a1270826,2014-08-29,i1000965,1028,34,3,1,"39,99",0,"0,0",c1124885,2,BPRG,"39,99","1,0",,
a1189711,2014-06-21,i1002744,1001,85,17,1,"29,99",v1000220,"10,0",c1039783,2,PAYPALVC,"29,99","0,0",,
a1490851,2015-03-20,i1000314,1000,44,3,1,"22,99",0,"0,0",c1231344,2,BPRG,"22,99","0,0",,
a1403038,2015-01-02,i1002865,3059,I,17,1,"17,99",0,"0,0",c1218384,3,BPRG,"17,99","0,0",,
a1533122,2015-04-22,i1003842,1078,42,1,1,"40,0",0,"0,0",c1176696,2,BPRG,"59,99","0,0",,
a1533125,2015-04-22,i1002897,1065,I,17,1,"15,0",0,"0,0",c1260291,2,PAYPALVC,"22,99","0,0",,
a1533126,2015-04-22,i1001889,1077,38,8,1,"40,0",0,"0,0",c1120794,2,BPRG,"59,99","1,0",,
a1358226,2014-11-14,i1002120,1493,34,9,1,"15,0",0,"0,0",c1208598,2,BPRG,"49,99","0,0",,
a1490871,2015-03-20,i1002156,2079,36,9,1,"29,99",v1000476,"10,0",c1073382,2,BPRG,"29,99","1,0",,
a1533133,2015-04-22,i1002200,7126,38,9,1,"49,99",v1000258,"10,0",c1260294,2,NN,"49,99","0,0",,
a1358237,2014-11-14,i1001828,2001,42,8,1,"30,0",0,"0,0",c1208604,2,PAYPALVC,"39,99","0,0",,
a1614412,2015-06-19,i1003434,7144,30,2,1,"39,99",0,"0,0",c1285119,3,BPRG,"39,99","0,0",,
a1695796,2015-08-22,i1001917,2067,36,8,1,"12,0",0,"0,0",c1069786,2,KKE,"39,99","0,0",,
a1358243,2014-11-14,i1000977,2012,38,3,1,"39,99",0,"0,0",c1189398,2,BPRG,"39,99","1,0",,
a1695799,2015-08-22,i1001921,1050,44,8,1,"12,0",0,"0,0",c1151485,2,BPRG,"39,99","1,0",,
a1189740,2014-06-21,i1000750,3999,38,3,1,"9,0",0,"0,0",c1002813,3,VORAUS,"29,99","0,0",,
a1403074,2015-01-02,i1002833,1056,100,17,1,"18,0",0,"0,0",c1210041,2,BPRG,"25,99","1,0",,
a1358256,2014-11-14,i1001787,3014,40,8,1,"20,0",0,"0,0",c1013018,2,PAYPALVC,"39,99","0,0",,
a1403081,2015-01-02,i1001278,1894,34,4,1,"49,99",0,"0,0",c1222658,2,BPRG,"49,99","1,0",,
a1574252,2015-05-21,i1003882,1001,38,1,1,"39,99",0,"0,0",c1272641,3,PAYPALVC,"39,99","0,0",,
a1270878,2014-08-29,i1000873,1961,40,3,1,"15,0",0,"0,0",c1131548,2,VORAUS,"22,99","0,0",,
a1614434,2015-06-19,i1002928,1624,A,17,1,"19,99",v1000535,"10,0",c1139749,2,BPRG,"19,99","0,0",,
a1230395,2014-07-24,i1002344,2014,44,13,1,"59,99",0,"0,0",c1169959,3,BPRG,"59,99","1,0",,
a1358276,2014-11-14,i1001830,1975,34,8,1,"30,0",0,"0,0",c1186446,2,BPRG,"39,99","0,0",,
a1189767,2014-06-21,i1000680,1001,36,3,1,"27,99",v1000220,"10,0",c1028034,2,BPRG,"27,99","0,0",,
a1490911,2015-03-20,i1003846,1055,36,1,1,"69,99",0,"0,0",c1247626,2,CBA,"69,99","0,0",,
a1315094,2014-10-10,i1000933,1001,44,3,1,"20,0",v1000285,"10,0",c1186896,2,PAYPALVC,"29,99","0,0",,
a1614443,2015-06-19,i1001743,1493,44,8,1,"29,99",0,"0,0",c1244394,2,BPRG,"29,99","1,0",,
a1655206,2015-07-19,i1001083,1081,44,3,1,"12,0",v1000703,"27,7",c1065515,2,BPRG,"17,99","0,0",,
a1533178,2015-04-22,i1001419,1003,36,5,1,"29,99",0,"0,0",c1037343,2,PAYPALVC,"29,99","0,0",,
a1533179,2015-04-22,i1003880,2001,42,1,1,"59,99",0,"0,0",c1064655,3,CBA,"59,99","1,0",,
a1446829,2015-02-13,i1002198,7101,34,9,1,"59,99",0,"0,0",c1115687,2,KKE,"59,99","1,0",,
a1490921,2015-03-20,i1001311,1940,44,5,1,"12,0",0,"0,0",c1247203,2,BPRG,"39,99","1,0",,
a1358295,2014-11-14,i1001774,1961,38,8,1,"12,0",0,"0,0",c1208629,2,CBA,"39,99","1,0",,
a1151117,2014-05-24,i1000372,1001,38,3,1,"9,99",0,"0,0",c1091016,2,CBA,"9,99","0,0",,
a1270906,2014-08-30,i1000934,2001,44,3,1,"27,99",0,"0,0",c1107868,4,BPRG,"27,99","1,0",,
a1403114,2015-01-02,i1003757,1001,38,1,1,"35,0",0,"0,0",c1222669,2,BPRG,"49,99","1,0",,
a1358296,2014-11-14,i1002853,2012,I,17,2,"51,98",0,"0,0",c1078063,2,BPRG,"25,99","0,0",,
a1403121,2015-01-02,i1003775,3001,32,1,1,"35,0",0,"0,0",c1216900,2,BPRG,"69,99","1,0",,
a1358303,2014-11-14,i1002788,1026,I,17,1,"15,0",0,"0,0",c1208623,2,BPRG,"19,99","0,0",,
a1151127,2014-05-24,i1000850,1012,38,3,1,"17,99",v1000205,"0,0",c1040509,2,BPRG,"17,99","1,0",,
a1358306,2014-11-14,i1001002,1044,44,3,1,"35,99",0,"0,0",c1171658,2,BPRG,"35,99","0,0",,
a1270913,2014-08-30,i1003438,7051,32,2,1,"59,99",0,"0,0",c1027425,2,BPRG,"59,99","1,0",,
a1695860,2015-08-22,i1001681,3086,40,8,1,"20,0",0,"0,0",c1306997,4,BPRG,"39,99","0,0",,
a1315124,2014-10-10,i1001267,2014,40,4,1,"69,99",0,"0,0",c1056610,2,CBA,"69,99","0,0",,
a1490942,2015-03-20,i1000638,1058,36,3,1,"25,0",0,"0,0",c1003709,2,BPRG,"35,99","1,0",,
a1574304,2015-05-21,i1001120,1077,38,3,1,"29,99",0,"0,0",c1153269,2,BPRG,"29,99","0,0",,
a1446856,2015-02-13,i1001019,1043,38,3,1,"25,0",0,"0,0",c1235035,2,PAYPALVC,,"1,0",,
a1695867,2015-08-22,i1001426,1033,44,5,1,"15,0",0,"0,0",c1307005,3,BPRG,"49,99","0,0",,
a1270932,2014-08-30,i1003791,1769,44,1,1,"69,99",v1000078,"10,0",c1068587,4,BPRG,"69,99","0,0",,
a1189804,2014-06-21,i1001515,1010,44,6,1,"35,0",v1000166,"10,0",c1086596,2,BPRG,"49,99","0,0",,
a1358327,2014-11-14,i1002848,1056,I,17,1,"25,99",0,"0,0",c1173683,3,CBA,"25,99","0,0",,
a1695874,2015-08-22,i1001910,1055,38,8,1,"18,0",0,"0,0",c1307357,2,BPRG,"59,99","1,0",,
a1446872,2015-02-13,i1001021,1001,40,3,1,"20,0",0,"0,0",c1005473,3,BPRG,"29,99","0,0",,
a1574327,2015-05-21,i1001079,2089,38,3,1,"25,99",0,"0,0",c1016345,2,BPRG,"25,99","1,0",,
a1533236,2015-04-22,i1001141,1077,34,4,1,"29,99",0,"0,0",c1056112,3,CBA,"29,99","1,0",,
a1655251,2015-07-19,i1000347,3493,36,3,1,"25,0",0,"0,0",c1032701,3,BPRG,"35,99","0,0",,
a1614499,2015-06-19,i1001071,1078,42,3,1,"30,0",0,"0,0",c1284250,4,BPRG,"39,99","0,0",,
a1655252,2015-07-19,i1003602,7172,31,2,1,"69,99",0,"0,0",c1295597,2,KKE,"69,99","0,0",,
a1655252,2015-07-19,i1003602,7172,32,2,1,"69,99",0,"0,0",c1295597,2,KKE,"69,99","1,0",,
a1614505,2015-06-19,i1001067,2894,40,3,1,"18,0",0,"0,0",c1284253,2,BPRG,"25,99","1,0",,
a1315158,2014-10-10,i1003278,1012,40,3,1,"12,95",0,"0,0",c1198851,2,BPRG,"12,95","1,0",,
a1736563,2015-09-24,i1002584,1001,I,17,1,"35,99",0,"0,0",c1218960,2,BPRG,"35,99","0,0",,
a1151171,2014-05-24,i1003278,1012,44,3,1,"12,95",0,"0,0",c1013331,2,BPRG,"12,95","0,0",,
a1695888,2015-08-22,i1003435,1000,31,2,1,"35,0",0,"0,0",c1307011,4,BPRG,"49,99","1,0",,
a1533250,2015-04-22,i1000355,3493,40,3,1,"25,99",0,"0,0",c1017271,2,NN,"25,99","0,0",,
a1446893,2015-02-13,i1001892,2493,38,8,1,"39,99",0,"0,0",c1042215,2,CBA,"39,99","1,0",,
a1403194,2015-01-02,i1001001,2012,38,3,1,"25,0",0,"0,0",c1222706,2,BPRG,"35,99","0,0",,
a1574359,2015-05-21,i1001143,1000,40,4,1,"29,99",0,"0,0",c1272669,4,BPRG,"29,99","0,0",,
a1614534,2015-06-19,i1000728,1055,42,3,1,"25,0",0,"0,0",c1175426,2,BPRG,"35,99","1,0",,
a1358379,2014-11-14,i1002537,1975,44,15,1,"50,0",0,"0,0",c1000753,2,BPRG,"69,99","1,0",,
a1533270,2015-04-22,i1001905,2077,34,8,1,"39,99",0,"0,0",c1203337,2,CBA,"39,99","1,0",,
a1736581,2015-09-24,i1003237,1093,38,3,1,"20,0",0,"0,0",c1303367,2,BPRG,"29,99","0,0",,
a1574379,2015-05-21,i1000674,1081,42,3,1,"22,99",0,"0,0",c1070659,2,PAYPALVC,"22,99","0,0",,
